"text","text_en","cmp_code","eu_code"
"ΠΡΟΓΡΑΜΜΑΤΙΚΕΣ ΘΕΣΕΙΣ","PROGRAMMATIC POSITIONS",NA,NA
"Πρώτα η Ελλάδα Πρώτα οι Έλληνες","Greece first, Greeks first",NA,NA
"Μάρτιος 2021","March 2021",NA,NA
"Χαιρετισμός του Προέδρου της ΕΛΛΗΝΙΚΗΣ ΛΥΣΗΣ","Greeting by the President of the HELLENIC SOLUTION",NA,NA
"Πριν μερικά χρόνια ξεκίνησε ένα ταξίδι με πορεία προς την κορυφή.","A few years ago, a journey began with a path to the top.",NA,NA
"Για όλους εμάς στην Ελληνική Λύση, η κορυφή είναι αντάξια για την Ελλάδα και τους Έλληνες.","For all of us at Hellenic Solution, the top is worthy of Greece and Greeks.",NA,NA
"Στα χρόνια που πέρασαν, με βάση το πρόγραμμά μας και κυρίως ένα ολοκληρωμένο σχέδιο, ζητήσαμε δύο φορές την ψήφο του ελληνικού λαού και αυτός μας εμπιστεύτηκε.","In the years that have passed, based on our program and especially a comprehensive plan, we have twice asked for the vote of the Greek people and they trusted us.",NA,NA
"Τον ευχαριστούμε για αυτό.","We thank them for that.",NA,NA
"Και στις δύο εκλογικές αναμετρήσεις μας τίμησαν εκατοντάδες χιλιάδες Έλληνες, δίνοντάς μας την δυνατότητα, τόσο στο Ευρωκοινοβούλιο όσο και στη Βουλή των Ελλήνων, να αποδείξουμε αυτά που ισχυριζόμαστε και πρεσβεύουμε:","In both elections, hundreds of thousands of Greeks honoured us, giving us the opportunity, both in the European Parliament and in the Greek Parliament, to prove what we claim and stand for:",NA,NA
"Ότι με σκληρή δουλειά μπορεί να είμαστε ως Έθνος στις πρώτες θέσεις διεθνώς, όπως αρμόζει στην ιστορία και στον πολιτισμό μας.","That with hard work we can be a nation at the forefront of the world, as befits our history and culture.",NA,NA
"Και στους δύο χώρους, Ευρωβουλή και Ελληνική Βουλή, η Ελληνική Λύση είναι πρώτη σε όλα τα επίπεδα.","In both places, the European Parliament and the Greek Parliament, the Hellenic Solution is first on all levels.",NA,NA
"Θα συνεχίσουμε","We will continue",NA,NA
"να δουλεύουμε σκληρά για να παραμείνουμε πρώτοι και να κάνουμε την Ελλάδα να βρεθεί στην κορυφή.","work hard to remain first and make Greece come out on top.",NA,NA
"Αυτό όμως που έχει ξεχωριστή σημασία και συνιστά ειδοποιό διαφορά είναι το γεγονός ότι δεν ζητάμε την ψήφο των Ελλήνων εν λευκώ - αλλά με βάση το πρόγραμμα μας, το οποίο δημοσιοποιούμε κάθε φορά και το οποίο ζητούμε να διαβάσουν όλοι οι πολίτες ώστε να επιλέξουν το σωστό, να επιλέξουν εμάς.","But what is of particular importance and a telling difference is the fact that we are not asking for the Greek vote in blank - but on the basis of our programme, which we publish every time and which we ask all citizens to read so that they choose the right thing, to choose us.",NA,NA
"Με επιχειρήματα και με συγκεκριμένες λύσεις.","With arguments and with concrete solutions.",NA,NA
"Όχι με «κομματικά ευχολόγια».","Not with 'party wishful thinking'.",NA,NA
